ano,mes,estado,preco_medio
2024,1,RO,119.68
2024,1,RR,128.00
2024,1,RS,104.10
2024,1,SC,113.01
2024,1,SE,96.78
2024,1,SP,99.37
2024,1,TO,118.61
2024,2,AC,116.19
2024,2,AL,94.60
2024,2,AM,124.32
2024,2,AP,112.22
2024,2,BA,107.43
2024,2,CE,100.35
2024,2,DF,96.03
2024,2,ES,96.64
2024,2,GO,102.41
2024,2,MA,106.51
2024,2,MG,100.05
2024,2,MS,110.12
2024,2,MT,117.04
2024,2,PA,107.55
2024,2,PB,103.11
2024,2,PE,90.94
2024,2,PI,98.04
2024,2,PR,98.89
2024,2,RJ,92.88
2024,2,RN,105.03
2024,2,RO,120.05
2024,2,RR,128.85
2024,2,RS,105.99
2024,2,SC,114.06
2024,2,SE,97.24
2024,2,SP,100.27
2024,2,TO,119.02
2024,3,AC,116.79
2024,3,AL,94.69
2024,3,AM,123.62
2024,3,AP,112.24
2024,3,BA,109.82
2024,3,CE,100.91
2024,3,DF,95.81
2024,3,ES,96.49
2024,3,GO,102.13
2024,3,MA,105.59
2024,3,MG,99.78
2024,3,MS,109.56
2024,3,MT,117.14
2024,3,PA,108.29
2024,3,PB,103.05
2024,3,PE,90.27
2024,3,PI,98.20
2024,3,PR,98.84
2024,3,RJ,93.55
2024,3,RN,104.62
2024,3,RO,119.90
2024,3,RR,128.72
2024,3,RS,105.97
2024,3,SC,114.22
2024,3,SE,98.08
2024,3,SP,100.27
2024,3,TO,119.34
2024,4,AC,116.21
2024,4,AL,94.31
2024,4,AM,123.11
2024,4,AP,111.41
2024,4,BA,109.20
2024,4,CE,100.83
2024,4,DF,95.92
2024,4,ES,96.06
2024,4,GO,102.00
2024,4,MA,106.32
2024,4,MG,99.55
2024,4,MS,109.52
2024,4,MT,118.53
2024,4,PA,108.55
2024,4,PB,100.09
2024,4,PE,90.69
2024,4,PI,97.18
2024,4,PR,99.54
2024,4,RJ,93.43
2024,4,RN,103.84
2024,4,RO,120.32
2024,4,RR,128.03
2024,4,RS,105.92
2024,4,SC,113.66
2024,4,SE,97.05
2024,4,SP,99.77
2024,4,TO,119.95
2024,5,AC,116.13
2024,5,AL,94.17
2024,5,AM,123.17
2024,5,AP,111.23
2024,5,BA,108.97
2024,5,CE,100.05
2024,5,DF,95.37
2024,5,ES,96.43
2024,5,GO,101.90
2024,5,MA,104.84
2024,5,MG,99.46
2024,5,MS,109.64
2024,5,MT,115.72
2024,5,PA,108.41
2024,5,PB,100.40
2024,5,PE,90.77
2024,5,PI,97.40
2024,5,PR,98.03
2024,5,RJ,93.10
2024,5,RN,103.97
2024,5,RO,120.53
2024,5,RR,127.84
2024,5,RS,107.30
2024,5,SC,113.22
2024,5,SE,97.46
2024,5,SP,99.50
2024,5,TO,119.69
2024,6,AC,116.28
2024,6,AL,93.88
2024,6,AM,122.36
2024,6,AP,111.61
2024,6,BA,107.82
2024,6,CE,99.82
2024,6,DF,94.94
2024,6,ES,96.01
2024,6,GO,101.64
2024,6,MA,105.09
